id,title,total.gross,distributer,genre,release.date,runtime,budget,MPAA.rating
10itemsorless.htm,10 Items or Less ,83291,ThinkFilm,Comedy,1/12/2006,1 hrs. 22 min.,,R
10thandwolf.htm,10th &amp; Wolf ,54702,ThinkFilm,Crime Drama,18/08/2006,1 hrs. 50 min.,8000000,R
11thhour.htm,The 11th Hour ,707343,Warner Independent,Documentary,17/08/2007,1 hrs. 33 min.,,PG
12.htm,12,125120,Sony Classics,Foreign,4/3/2009,2 hrs. 39 min.,,PG-13
1208eastofbucharest.htm,12:08 East of Bucharest ,91881,Tartan,Foreign,6/6/2007,1 hrs. 29 min.,,Unrated
127hours.htm,127 Hours ,18335230,Fox Searchlight,Drama,5/11/2010,1 hrs. 33 min.,18000000,R
12rounds.htm,12 Rounds ,12234694,Fox,Action / Adventure,27/03/2009,1 hrs. 48 min.,,PG-13
13assassins.htm,13 Assassins ,802778,Magnolia,Foreign,29/04/2011,2 hrs. 6 min.,,R
13b.htm,13B ,12449,AdLabs,Foreign,6/3/2009,2 hrs. 26 min.,,Unrated
13tzameti.htm,13 Tzameti ,121390,Palm,Foreign,28/07/2006,1 hrs. 26 min.,,Unrated
1408.htm,1408,71985628,MGM (Weinstein),Horror,22/06/2007,1 hrs. 34 min.,25000000,PG-13
17again.htm,17 Again ,64167069,Warner Bros. (New Line),Fantasy Comedy,17/04/2009,1 hrs. 42 min.,,PG-13
2006shortfilms.htm,The 2006 Academy Award Nominated Short Films ,335090,Magnolia,Unknown,16/02/2007,3 hrs. 9 min.,,Unrated
2007shortfilms.htm,2007 Academy Award Nominated Short Films ,508695,Magnolia,Unknown,15/02/2008,,,Unrated
2011oscarshorts.htm,2011 Oscar Shorts ,1352152,Shorts International,Unknown,11/2/2011,,,Unrated
2012.htm,2012,166112167,Sony / Columbia,Action Drama,13/11/2009,2 hrs. 38 min.,200000000,PG-13
20centimeters.htm,20 Centimeters ,6635,TLA Releasing,Foreign,27/10/2006,1 hrs. 53 min.,,Unrated
21.htm,21,81159365,Sony / Columbia,Drama,28/03/2008,2 hrs. 3 min.,35000000,PG-13
27dresses.htm,27 Dresses ,76808654,Fox,Romantic Comedy,18/01/2008,1 hrs. 47 min.,30000000,PG-13
28weekslater.htm,28 Weeks Later ,28638916,Fox Atomic,Horror,11/5/2007,1 hrs. 31 min.,,R
2daysinparis.htm,2 Days in Paris ,4433994,Samuel Goldwyn,Comedy / Drama,10/8/2007,1 hrs. 34 min.,,R
300.htm,300,210614939,Warner Bros.,Period Action,9/3/2007,1 hrs. 57 min.,65000000,R
30daysofnight.htm,30 Days of Night ,39568996,Sony / Columbia,Horror,19/10/2007,1 hrs. 53 min.,30000000,R
30minutesorless.htm,30 Minutes or Less ,37053924,Sony / Columbia,Action Comedy,12/8/2011,1 hrs. 23 min.,28000000,R
310toyuma.htm,3:10 to Yuma ,53606916,Lionsgate,Western,7/9/2007,1 hrs. 57 min.,55000000,R
35andticking.htm,35 and Ticking ,113794,Image Entertainment,Romantic Comedy,20/05/2011,1 hrs. 30 min.,,R
35shotsofrum.htm,35 Shots of Rum ,177511,Cinema Guild,Foreign,16/09/2009,1 hrs. 40 min.,,Unrated
3backyards.htm,3 Backyards ,43073,Screen Media,Drama,11/3/2011,1 hrs. 28 min.,,R
3d06.htm,Tim Burton's The Nightmare Before Christmas in 3-D ,8700869,Buena Vista,Animation,20/10/2006,1 hrs. 16 min.,,PG
3idiots.htm,3 Idiots ,6532874,Reliance Big Pictures,Comedy / Drama,23/12/2009,2 hrs. 40 min.,,PG
44inchchest.htm,44 Inch Chest ,39033,Image Entertainment,Drama,15/01/2010,1 hrs. 35 min.,,R
49up.htm,49 Up ,241772,First Run,Documentary,6/10/2006,2 hrs. 15 min.,,Unrated
4months3weeks2days.htm,4 Months,,,,,,,
500daysofsummer.htm,(500) Days of Summer ,32391374,Fox Searchlight,Romance,17/07/2009,1 hrs. 35 min.,7500000,PG-13
51birchstreet.htm,51 Birch Street ,84689,Truly Indie,Documentary,18/10/2006,1 hrs. 30 min.,,Unrated
5daysofwar.htm,5 Days of War ,17479,Anchor Bay Films,Action Drama,19/08/2011,1 hrs. 53 min.,12000000,R
5thquarter.htm,The 5th Quarter ,408159,Rocky Mountain Pictures,Drama,25/03/2011,1 hrs. 41 min.,,PG-13
7khoonmaaf.htm,7 Khoon Maaf ,270207,UTV Communications,Foreign,18/02/2011,2 hrs. 17 min.,,Unrated
88minutes.htm,88 Minutes ,17213467,Sony / Columbia,Thriller,18/04/2008,1 hrs. 48 min.,,R
8mormonproposition.htm,8: The Mormon Proposition ,100280,Red Flag Releasing,Documentary,18/06/2010,1 hrs. 20 min.,,R
9.htm,9,31749894,Focus Features,Animation,9/9/2009,1 hrs. 19 min.,30000000,PG-13
9dot99.htm,$9.99 ,52384,Regent Releasing,Animation,12/12/2008,1 hrs. 18 min.,,R
aajanachle.htm,Aaja Nachle ,484108,Yash Raj,Foreign,30/11/2007,2 hrs. 25 min.,,Unrated
abduction.htm,Abduction: The Megumi Yokota Story ,26859,Sagewood Cinema Ventures,Documentary,24/11/2006,1 hrs. 25 min.,,Unrated
abetterlife.htm,A Better Life ,1759252,Summit Entertainment,Drama,24/06/2011,1 hrs. 37 min.,10000000,PG-13
absolutewilson.htm,Absolute Wilson ,66217,New Yorker,Documentary,27/10/2006,1 hrs. 49 min.,,Unrated
absurdistan.htm,Absurdistan ,39683,First Run,Foreign,6/2/2009,1 hrs. 28 min.,,Unrated
accepted.htm,Accepted ,36323505,Universal,Comedy,18/08/2006,1 hrs. 30 min.,23000000,PG-13
acrosstheuniverse.htm,Across the Universe ,24343673,Sony (Revolution),Musical,14/09/2007,2 hrs. 11 min.,,PG-13
adam.htm,Adam ,2277396,Fox Searchlight,Comedy / Drama,29/07/2009,1 hrs. 35 min.,,PG-13
adamandsteve.htm,Adam &amp; Steve ,309404,TLA Releasing,Romantic Comedy,31/03/2006,1 hrs. 39 min.,,R
