id,role,playerid,name,minor
10000bc.htm,Director,rolandemmerich.htm,Roland Emmerich,
10000bc.htm,Writer,rolandemmerich.htm,Roland Emmerich,
10000bc.htm,Writer,haraldkloser.htm,Harald Kloser,
10000bc.htm,Producer,markgordon.htm,Mark Gordon,
10000bc.htm,Producer,thomastull.htm,Thomas Tull,
10itemsorless.htm,Director,bradsilberling.htm,Brad Silberling,
10itemsorless.htm,Actor,morganfreeman.htm,Morgan Freeman,
10itemsorless.htm,Actor,jonahhill.htm,Jonah Hill,
10thandwolf.htm,Actor,jamesmarsden.htm,James Marsden,
10thandwolf.htm,Actor,giovanniribisi.htm,Giovanni Ribisi,
10thandwolf.htm,Actor,piperperabo.htm,Piper Perabo,
10thandwolf.htm,Actor,valkilmer.htm,Val Kilmer,
10thandwolf.htm,Composer,aaronzigman.htm,Aaron Zigman,
11thhour.htm,Writer,leonardodicaprio.htm,Leonardo DiCaprio,
11thhour.htm,Actor,leonardodicaprio.htm,Leonardo DiCaprio,*
11thhour.htm,Producer,leonardodicaprio.htm,Leonardo DiCaprio,
127hours.htm,Director,dannyboyle.htm,Danny Boyle,
127hours.htm,Writer,simonbeaufoy.htm,Simon Beaufoy,
127hours.htm,Writer,dannyboyle.htm,Danny Boyle,
127hours.htm,Actor,jamesfranco.htm,James Franco,
127hours.htm,Producer,dannyboyle.htm,Danny Boyle,
127hours.htm,Composer,arrahman.htm,A.R. Rahman,
12rounds.htm,Director,rennyharlin.htm,Renny Harlin,
12rounds.htm,Actor,johncena.htm,John Cena,
12rounds.htm,Producer,markgordon.htm,Mark Gordon,
12rounds.htm,Composer,trevorrabin.htm,Trevor Rabin,
1408.htm,Director,mikaelhafstrom.htm,Mikael Hafstrom,
1408.htm,Writer,mattgreenberg.htm,Matt Greenberg,
1408.htm,Writer,scottalexander.htm,Scott Alexander,
1408.htm,Writer,larrykaraszewski.htm,Larry Karaszewski,
1408.htm,Actor,johncusack.htm,John Cusack,
1408.htm,Actor,samuelljackson.htm,Samuel L. Jackson,
1408.htm,Producer,lorenzodibonaventura.htm,Lorenzo di Bonaventura,
1408.htm,Cinematographer,benoitdelhomme.htm,Benoit Delhomme,
1408.htm,Composer,gabrielyared.htm,Gabriel Yared,
17again.htm,Director,burrsteers.htm,Burr Steers,
17again.htm,Actor,zacefron.htm,Zac Efron,
17again.htm,Actor,lesliemann.htm,Leslie Mann,
17again.htm,Actor,matthewperry.htm,Matthew Perry,
17again.htm,Actor,michelletrachtenberg.htm,Michelle Trachtenberg,
17again.htm,Composer,rolfekent.htm,Rolfe Kent,
2012.htm,Director,rolandemmerich.htm,Roland Emmerich,
2012.htm,Actor,johncusack.htm,John Cusack,
2012.htm,Actor,woodyharrelson.htm,Woody Harrelson,
2012.htm,Actor,thandienewton.htm,Thandie Newton,
2012.htm,Actor,amandapeet.htm,Amanda Peet,
2012.htm,Producer,markgordon.htm,Mark Gordon,
21.htm,Director,robertluketic.htm,Robert Luketic,
21.htm,Writer,allanloeb.htm,Allan Loeb,
21.htm,Actor,jimsturgess.htm,Jim Sturgess,
21.htm,Actor,kevinspacey.htm,Kevin Spacey,
21.htm,Actor,katebosworth.htm,Kate Bosworth,
21.htm,Actor,laurencefishburne.htm,Laurence Fishburne,
21.htm,Actor,joshgad.htm,Josh Gad,
21.htm,Producer,danabrunetti.htm,Dana Brunetti,
21.htm,Producer,michaeldeluca.htm,Michael De Luca,
21.htm,Producer,ryankavanaugh.htm,Ryan Kavanaugh,
21.htm,Composer,davidsardy.htm,David Sardy,
27dresses.htm,Director,annefletcher.htm,Anne Fletcher,
27dresses.htm,Writer,alinebroshmckenna.htm,Aline Brosh McKenna,
27dresses.htm,Actor,katherineheigl.htm,Katherine Heigl,
27dresses.htm,Actor,jamesmarsden.htm,James Marsden,
27dresses.htm,Producer,rogerbirnbaum.htm,Roger Birnbaum,
27dresses.htm,Producer,garybarber.htm,Gary Barber,
27dresses.htm,Producer,jonathanglickman.htm,Jonathan Glickman,
27dresses.htm,Producer,jeffreysilver.htm,Jeffrey Silver,
27dresses.htm,Composer,randyedelman.htm,Randy Edelman,
28weekslater.htm,Director,juancarlosfresnadillo.htm,Juan Carlos Fresnadillo,
28weekslater.htm,Writer,juancarlosfresnadillo.htm,Juan Carlos Fresnadillo,
28weekslater.htm,Actor,rosebyrne.htm,Rose Byrne,
28weekslater.htm,Actor,jeremyrenner.htm,Jeremy Renner,
28weekslater.htm,Actor,idriselba.htm,Idris Elba,
28weekslater.htm,Actor,imogenpoots.htm,Imogen Poots,
28weekslater.htm,Producer,dannyboyle.htm,Danny Boyle,
2daysinparis.htm,Director,juliedelpy.htm,Julie Delpy,
2daysinparis.htm,Writer,juliedelpy.htm,Julie Delpy,
2daysinparis.htm,Actor,juliedelpy.htm,Julie Delpy,
2daysinparis.htm,Composer,juliedelpy.htm,Julie Delpy,
300.htm,Director,zacksnyder.htm,Zack Snyder,
300.htm,Writer,kurtjohnstad.htm,Kurt Johnstad,
300.htm,Writer,frankmiller.htm,Frank Miller,
300.htm,Writer,zacksnyder.htm,Zack Snyder,
300.htm,Actor,gerardbutler.htm,Gerard Butler,
300.htm,Actor,lenaheadey.htm,Lena Headey,
300.htm,Actor,michaelfassbender.htm,Michael Fassbender,
300.htm,Producer,deborahsnyder.htm,Deborah Snyder,
300.htm,Producer,thomastull.htm,Thomas Tull,
300.htm,Producer,jeffreysilver.htm,Jeffrey Silver,
300.htm,Producer,markcanton.htm,Mark Canton,
300.htm,Producer,gianninunnari.htm,Gianni Nunnari,
300.htm,Producer,berniegoldmann.htm,Bernie Goldmann,
300.htm,Cinematographer,larryfong.htm,Larry Fong,
300.htm,Composer,tylerbates.htm,Tyler Bates,
30daysofnight.htm,Director,davidslade.htm,David Slade,
30daysofnight.htm,Writer,stuartbeattie.htm,Stuart Beattie,
30daysofnight.htm,Actor,joshhartnett.htm,Josh Hartnett,
30daysofnight.htm,Actor,benfoster.htm,Ben Foster,
30daysofnight.htm,Producer,samraimi.htm,Sam Raimi,
30daysofnight.htm,Composer,brianreitzell.htm,Brian Reitzell,
30minutesorless.htm,Director,rubenfleisher.htm,Ruben Fleischer,
30minutesorless.htm,Writer,michaeldiliberti.htm,Michael Diliberti,
30minutesorless.htm,Actor,jesseeisenberg.htm,Jesse Eisenberg,
30minutesorless.htm,Actor,azizansari.htm,Aziz Ansari,
30minutesorless.htm,Actor,dannymcbride.htm,Danny McBride,
30minutesorless.htm,Actor,nickswardson.htm,Nick Swardson,
30minutesorless.htm,Producer,benstiller.htm,Ben Stiller,
30minutesorless.htm,Composer,nathanbarr.htm,Nathan Barr,
30minutesorless.htm,Composer,ludwiggoransson.htm,Ludwig Goransson,
310toyuma.htm,Director,jamesmangold.htm,James Mangold,
310toyuma.htm,Actor,russellcrowe.htm,Russell Crowe,
310toyuma.htm,Actor,christianbale.htm,Christian Bale,
310toyuma.htm,Actor,benfoster.htm,Ben Foster,
310toyuma.htm,Actor,lukewilson.htm,Luke Wilson,*
310toyuma.htm,Producer,ryankavanaugh.htm,Ryan Kavanaugh,
310toyuma.htm,Producer,cathykonrad.htm,Cathy Konrad,
310toyuma.htm,Composer,marcobeltrami.htm,Marco Beltrami,
44inchchest.htm,Director,malcolmvenville.htm,Malcolm Venville,
44inchchest.htm,Actor,tomwilkinson.htm,Tom Wilkinson,
44inchchest.htm,Producer,stevegolin.htm,Steve Golin,
500daysofsummer.htm,Director,marcwebb.htm,Marc Webb,
500daysofsummer.htm,Actor,zooeydeschanel.htm,Zooey Deschanel,
500daysofsummer.htm,Actor,josephgordonlevitt.htm,Joseph Gordon-Levitt,
500daysofsummer.htm,Actor,chloemoretz.htm,Chloe Moretz,
500daysofsummer.htm,Actor,clarkgregg.htm,Clark Gregg,
500daysofsummer.htm,Actor,minkakelly.htm,Minka Kelly,*
500daysofsummer.htm,Producer,markswaters.htm,Mark S. Waters,
500daysofsummer.htm,Composer,robsimonsen.htm,Rob Simonsen,
5daysofwar.htm,Director,rennyharlin.htm,Renny Harlin,
5daysofwar.htm,Actor,valkilmer.htm,Val Kilmer,
88minutes.htm,Actor,alpacino.htm,Al Pacino,
88minutes.htm,Producer,lawrencebender.htm,Lawrence Bender,
88minutes.htm,Composer,edshearmur.htm,Ed Shearmur,
9.htm,Actor,elijahwood.htm,Elijah Wood,
9.htm,Actor,jenniferconnelly.htm,Jennifer Connelly,
9.htm,Producer,timurbekmambetov.htm,Timur Bekmambetov,
9.htm,Producer,timburton.htm,Tim Burton,
9.htm,Composer,deborahlurie.htm,Deborah Lurie,
abetterlife.htm,Director,chrisweitz.htm,Chris Weitz,
accepted.htm,Actor,justinlong.htm,Justin Long,
accepted.htm,Actor,blakelively.htm,Blake Lively,
accepted.htm,Actor,jonahhill.htm,Jonah Hill,
accepted.htm,Actor,kellenlutz.htm,Kellan Lutz,
accepted.htm,Producer,michaelbostick.htm,Michael Bostick,
accepted.htm,Producer,tomshadyac.htm,Tom Shadyac,
acrosstheuniverse.htm,Director,julietaymor.htm,Julie Taymor,
acrosstheuniverse.htm,Writer,julietaymor.htm,Julie Taymor,
acrosstheuniverse.htm,Actor,jimsturgess.htm,Jim Sturgess,
acrosstheuniverse.htm,Composer,elliotgoldenthal.htm,Elliot Goldenthal,
adam.htm,Actor,rosebyrne.htm,Rose Byrne,
adam.htm,Composer,christopherlennertz.htm,Christopher Lennertz,
adamandsteve.htm,Actor,parkerposey.htm,Parker Posey,
adjustmentbureau.htm,Director,georgenolfi.htm,George Nolfi,
adjustmentbureau.htm,Writer,georgenolfi.htm,George Nolfi,
adjustmentbureau.htm,Actor,mattdamon.htm,Matt Damon,
adjustmentbureau.htm,Actor,emilyblunt.htm,Emily Blunt,
adjustmentbureau.htm,Actor,johnslattery.htm,John Slattery,
adjustmentbureau.htm,Actor,anthonymackie.htm,Anthony Mackie,
adjustmentbureau.htm,Producer,chrismoore.htm,Chris Moore,
adjustmentbureau.htm,Producer,georgenolfi.htm,George Nolfi,
adjustmentbureau.htm,Cinematographer,johntoll.htm,John Toll,
adjustmentbureau.htm,Composer,thomasnewman.htm,Thomas Newman,
adventureland.htm,Director,gregmottola.htm,Greg Mottola,
adventureland.htm,Actor,jesseeisenberg.htm,Jesse Eisenberg,
adventureland.htm,Actor,ryanreynolds.htm,Ryan Reynolds,
adventureland.htm,Actor,kristenstewart.htm,Kristen Stewart,
adventureland.htm,Actor,kristenwiig.htm,Kristen Wiig,
adventureland.htm,Producer,tedhope.htm,Ted Hope,
adventureland.htm,Producer,sidneykimmel.htm,Sidney Kimmel,
africancats.htm,Actor,samuelljackson.htm,Samuel L. Jackson,*
afterlife10.htm,Actor,liamneeson.htm,Liam Neeson,
afterlife10.htm,Actor,justinlong.htm,Justin Long,
afterlife10.htm,Actor,christinaricci.htm,Christina Ricci,
afterlife10.htm,Composer,paulhaslinger.htm,Paul Haslinger,
agora.htm,Director,alejandroamenabar.htm,Alejandro Amenabar,
agora.htm,Writer,alejandroamenabar.htm,Alejandro Amenabar,
agora.htm,Actor,rachelweisz.htm,Rachel Weisz,
agora.htm,Composer,dariomarianelli.htm,Dario Marianelli,
akeelahandthebee.htm,Actor,laurencefishburne.htm,Laurence Fishburne,
akeelahandthebee.htm,Actor,angelabassett.htm,Angela Bassett,
alicecreed.htm,Actor,gemmaarterton.htm,Gemma Arterton,
aliceinwonderland10.htm,Director,timburton.htm,Tim Burton,
aliceinwonderland10.htm,Writer,lindawoolverton.htm,Linda Woolverton,
aliceinwonderland10.htm,Actor,miawasikowska.htm,Mia Wasikowska,
aliceinwonderland10.htm,Actor,johnnydepp.htm,Johnny Depp,
aliceinwonderland10.htm,Actor,helenabonhamcarter.htm,Helena Bonham Carter,
aliceinwonderland10.htm,Actor,annehathaway.htm,Anne Hathaway,
aliceinwonderland10.htm,Actor,michaelsheen.htm,Michael Sheen,
aliceinwonderland10.htm,Actor,alanrickman.htm,Alan Rickman,
aliceinwonderland10.htm,Producer,joeroth.htm,Joe Roth,
aliceinwonderland10.htm,Composer,dannyelfman.htm,Danny Elfman,
aliensintheattic.htm,Director,johnschultz.htm,John Schultz,
aliensintheattic.htm,Composer,johndebney.htm,John Debney,
aliensofthedeep.htm,Director,jamescameron.htm,James Cameron,
aliensofthedeep.htm,Director,stevenquale.htm,Steven Quale,
aliensofthedeep.htm,Producer,jamescameron.htm,James Cameron,
allaboutsteve.htm,Actor,sandrabullock.htm,Sandra Bullock,
allaboutsteve.htm,Actor,thomashadenchurch.htm,Thomas Haden Church,
allaboutsteve.htm,Actor,bradleycooper.htm,Bradley Cooper,
allaboutsteve.htm,Composer,christophebeck.htm,Christophe Beck,
allgoodthings.htm,Director,andrewjarecki.htm,Andrew Jarecki,
allgoodthings.htm,Actor,ryangosling.htm,Ryan Gosling,
allgoodthings.htm,Actor,kirstendunst.htm,Kirsten Dunst,
