Source,Target,PassengerNumber,ComplaintsNumber
41700,42834,3,2
47266,42834,1,1
41664,41576,4,2
42289,41576,3,1
41390,42713,2,1
42041,42709,3,1
47892,42709,2,1
41483,41714,2,1
42159,41714,3,2
41533,41533,15,5
41575,41533,2,1
41698,47392,1,1
42015,41533,2,1
42015,47392,2,1
42571,41533,20,2
42723,47392,10,2
47222,47403,10,1
47222,42977,10,1
42001,42015,5,1
42001,42015,5,1
42242,43115,2,1
42242,42977,2,1
42242,42977,2,1
43078,47528,5,1
43078,42015,5,1
43078,43115,5,1
43078,42977,5,1
43078,42015,5,1
43078,42977,5,1
41208,41215,2,1
41209,41215,1,1
41645,41215,2,1
42333,41215,1,1
41576,43139,1,1
42171,41968,17,2
42723,43139,5,1
47497,43139,25,2
41208,41751,1,1
41208,41751,1,1
41208,41751,1,1
41208,41751,1,1
41208,41751,1,1
41246,40985,5,1
42571,41751,21,2
41060,42659,2,1
41060,42501,2,1
41671,43114,7,1
41671,43114,7,1
42016,42853,6,6
42016,42853,6,6
42016,42603,6,6
42016,42603,6,6
42016,41068,3,3
41173,46203,1,1
41173,43032,1,1
41173,46203,1,1
41173,41188,1,1
41188,46203,2,1
41188,43032,2,1
41188,46203,2,1
41188,41188,2,1
43191,46203,5,1
43191,43032,5,1
43191,46203,5,1
43191,41188,5,1
41190,42998,1,1
41190,42827,1,1
41190,42827,1,1
41190,41173,1,1
42664,41260,1,1
42664,42015,1,1
42664,42015,1,1
42664,43035,1,1
43009,41260,4,1
41845,46234,1,1
41854,41758,1,1
50093,51564,1,1
50093,51564,1,1
51566,51564,1,1
51566,51564,1,1
52964,51567,1,1
43663,40957,3,1
42182,43725,2,1
42182,41533,2,1
47232,43725,0,1
47232,41533,0,1
41520,43713,1,1
41520,43713,1,1
41520,42409,1,1
41520,42409,1,1
41521,43713,11,2
41521,43713,11,2
41521,42409,11,2
41521,42409,11,2
41533,43713,29,3
41533,43713,29,3
41543,42409,1,1
41543,42409,1,1
41670,42409,10,1
41670,42409,10,1
41743,42409,14,2
41743,42409,14,2
41764,43713,49,8
41764,43713,49,8
41764,42409,49,8
41764,42409,49,8
42327,43713,10,3
42327,43713,10,3
42327,42409,10,3
42327,42409,10,3
42406,42409,1,1
42406,42409,1,1
43094,42409,7,3
43094,42409,7,3
43127,43713,10,1
43127,43713,10,1
43127,42409,10,1
43127,42409,10,1
43715,42409,15,2
43715,42409,15,2
43722,43713,1,1
43722,43713,1,1
43723,42409,1,1
43723,42409,1,1
43726,43713,5,1
43726,43713,5,1
43728,43713,8,2
43728,43713,8,2
46207,43713,27,5
46207,43713,27,5
46207,42409,27,5
46207,42409,27,5
46214,43713,8,1
46214,43713,8,1
46214,42409,8,1
46214,42409,8,1
46215,43713,20,1
46215,43713,20,1
46215,42409,20,1
46215,42409,20,1
46950,42409,17,3
46950,42409,17,3
53344,43713,26,2
53344,43713,26,2
53344,42409,26,2
53344,42409,26,2
53363,43713,5,1
53363,43713,5,1
53364,42409,12,3
53364,42409,12,3
53368,43713,15,2
53368,43713,15,2
53368,42409,15,2
53368,42409,15,2
41128,40297,5,1
41128,41704,5,1
41209,43711,2,2
41210,43711,5,1
41249,40297,10,3
41249,41704,10,3
41576,40297,6,1
41576,41704,6,1
41692,40297,2,1
41692,41704,2,1
42571,40297,5,1
42571,41704,5,1
42870,40297,5,1
42870,41704,5,1
42987,43711,8,1
43013,43711,2,1
47392,43711,5,1
42345,40297,1,1
42345,43713,1,1
42571,40297,10,1
42571,43713,10,1
43072,40297,1,1
43072,43713,1,1
42937,42937,3,1
42937,40377,3,1
42937,42937,3,1
42937,41296,3,1
42698,40583,30,1
520,3007,25,1
520,3007,25,1
3007,3007,10,1
3007,3007,10,1
5200,3007,2,1
5200,3007,2,1
5200,638,1,1
1685,65135,20,2
1685,65135,20,2
1685,65135,20,2
1685,65135,20,2
1685,65135,20,2
5130,34002,35,5
5130,34002,35,5
5130,65135,35,5
5130,65135,35,5
5130,65135,35,5
5130,65135,35,5
5130,65135,35,5
5130,34002,35,5
5131,65135,7,2
5131,65135,7,2
5131,65135,7,2
5131,65135,7,2
5131,65135,7,2
5132,65135,15,2
5132,65135,15,2
5132,65135,15,2
5132,65135,15,2
5132,65135,15,2
31654,34002,20,3
31654,34002,20,3
31654,34002,20,3
60001,34002,10,1
60001,34002,10,1
60001,34002,10,1
61368,65135,6,2
61368,65135,6,2
61368,65135,6,2
61368,65135,6,2
61368,65135,6,2
65134,65135,3,1
65134,65135,3,1
65134,65135,3,1
65134,65135,3,1
65134,65135,3,1
22028,37779,1,1
41045,47409,0,1
41045,42088,0,1
41045,47409,0,1
41533,47409,7,1
41533,47409,7,1
41735,47409,999,1
41735,42088,999,1
41735,47409,999,1
5130,65134,1,1
1904,428,6,2
60878,60878,1,1
42659,42621,6,1
42659,42621,6,1
2899,428,1,1
41128,42621,5,1
42162,42621,5,1
42659,42621,3,1
41128,42621,5,1
41533,42388,45,2
41533,42388,45,2
161,61466,19,4
1552,61466,1,1
1553,61466,7,2
1685,61466,2,1
3374,61466,5,1
4075,64006,7,1
4116,61466,11,2
5130,61466,12,2
5131,61466,1,1
5668,61466,9,2
61202,64006,15,1
63907,61466,10,1
63908,64006,10,1
63907,64006,62,7
63911,64006,21,2
63913,64006,15,3
65240,64006,1,1
65444,64006,51,2
31143,32453,0,1
31051,31635,20,3
31585,31647,4,1
31611,31647,1,1
31661,31647,8,1
37624,31647,15,3
38126,31635,5,1
38135,31635,1,1
38167,31635,1,1
20037,22028,103,9
20094,22028,114,8
20147,22028,10,2
20150,37660,0,1
20155,37660,15,1
20162,22028,53,5
20163,22028,6,2
20330,37660,20,1
21181,37660,8,1
21265,22028,14,1
21282,22028,6,1
21286,37660,4,1
21373,22028,47,5
21538,37660,11,2
22279,37660,2,1
23064,22028,128,22
25287,37660,5,1
25639,37660,2,1
26064,37660,8,2
26143,22028,11,3
26149,37660,87,6
26172,22028,2,1
26178,37660,10,1
26461,37660,2,1
26475,22028,45,5
26516,22028,126,9
26544,22028,82,7
26550,37660,11,2
26554,37660,14,3
27058,22028,54,4
27085,22028,173,13
28525,22028,55,7
28632,22028,12,1
36136,37660,3,1
36159,37660,8,2
36173,22028,5,1
36174,37660,5,1
37660,37660,19,4
41896,47379,1,1
42351,42945,6,1
42674,47379,9,1
78,5937,12,2
210,5937,27,6
211,5937,7,1
514,3824,10,1
516,3824,1,1
522,5937,22,3
523,5937,3,2
524,5937,12,2
527,5937,11,2
541,5937,109,15
680,3824,3,1
1310,5937,94,11
1328,5937,25,4
1507,5937,0,1
1956,5937,21,5
2246,5937,1,1
2836,3824,1,1
3121,5937,6,1
3327,5937,5,1
3374,5937,10,1
3629,5937,14,4
3634,5937,40,3
4011,5937,8,1
4115,3824,7,1
4116,5937,25,4
4169,5937,59,11
4216,5937,16,4
5668,5937,4,1
5669,5937,2,1
6012,3824,10,1
9949,5937,21,3
60413,3824,1133,13
41476,52378,1,1
42938,52378,2,1
43009,52133,18,2
43058,52114,1,1
51374,52114,1,1
57305,52114,1,1
1122,1415,3,1
61175,1415,2,1
61175,60878,2,1
60868,60878,5,1
60884,1415,0,1
60884,60878,0,1
30156,31280,1,1
31277,31280,1,1
31559,31280,1,1
32550,31280,11,3
37632,37779,3,1
1637,5497,1,1
5461,6212,8,1
5461,5497,8,1
5494,5497,1,1
6203,6212,7,2
6212,6212,9,1
6245,6212,1,1
647,647,247,19
647,647,247,19
1286,5601,1,1
1286,5602,1,1
2602,647,1,1
2602,647,1,1
4218,5601,0,1
4218,5602,0,1
5200,647,57,5
5200,647,57,5
5510,647,22,5
5510,5601,22,5
5510,5602,22,5
5510,647,22,5
5513,5601,4,2
5513,5602,4,2
5514,647,5,1
5514,5601,5,1
5514,5602,5,1
5514,647,5,1
5519,647,539,19
5519,5601,539,19
5519,5602,539,19
5519,647,539,19
5587,5601,415,13
5587,5602,415,13
5843,5601,4,1
5843,5602,4,1
9859,5601,6,3
9859,5602,6,3
647,647,1,1
5200,647,23,2
5577,5602,2,1
5579,5602,10,2
61506,647,1,1
61506,5602,1,1
65139,5602,15,1
65149,647,30,1
65149,5602,30,1
65150,647,7,1
65150,5602,7,1
20152,25953,2,1
20700,25953,2,1
21466,21718,32,2
21584,21718,5,1
21592,25953,1,1
26806,21718,1,1
36850,21718,1,1
36855,25953,1,1
47222,41476,16,1
47528,41260,1,1
20798,37779,13,2
22556,37779,3,1
31097,33286,1,1
31097,33286,1,1
31100,37779,3,1
31100,33286,3,1
31100,33286,3,1
31283,37779,1,1
32253,37779,1,1
34232,33286,5,1
34232,33286,5,1
38674,33286,2,2
38674,33286,2,2
40397,40847,1,1
40528,40847,2,1
42658,40847,1,1
46177,40847,2,2
31100,34781,15,3
31100,31100,15,3
32117,31100,2,1
38774,31100,6,2
41869,42501,4,1
40990,40955,2,1
41161,42346,2,1
11001,31075,45,2
11002,31075,1,1
11003,31075,3,1
11005,31075,10,2
11006,31075,5,1
11010,31075,4,2
11013,31075,3,1
12005,12708,2,1
13203,31075,10,1
31100,12708,11,2
31230,31075,10,2
31744,12708,1,1
31750,31075,3,2
32115,12708,29,4
32116,12708,1,1
32118,12708,2,1
32128,12708,28,6
32132,12708,1,1
36432,31075,1,1
36443,12708,2,1
38063,12708,2,1
289,289,1,1
41459,42689,1,1
41459,42191,1,1
42362,42689,5,1
42362,42191,5,1
42688,42689,1,1
42688,42191,1,1
524,6071,1,1
20309,21379,1,1
25358,21379,5,1
25430,21379,1,1
25637,21379,1,1
25644,21379,7,1
31313,21639,2,1
31596,21379,1,1
31653,21639,10,2
31662,21639,31704,1
31898,21639,6,2
36816,21639,4,1
21230,36258,10,1
21230,36258,10,1
21354,22028,2,2
21354,22028,2,2
22028,22028,5,1
22028,22028,5,1
22273,22028,7,1
22273,22028,7,1
26946,36258,7,1
26946,22028,7,1
26946,22028,7,1
26946,36258,7,1
31455,36258,10,2
31455,36258,10,2
36172,36258,9,6
36172,36258,9,6
36174,36258,4,2
36174,36258,4,2
36256,36258,4,1
36256,36258,4,1
36266,36258,5,1
36266,36258,5,1
36268,36258,2,1
36268,36258,2,1
37571,36258,1,1
37571,36258,1,1
21161,37785,7,2
21711,37785,1,1
22942,37785,2,1
31640,37785,1,1
31662,31476,5,1
33169,31476,2,1
35084,31476,2,2
35096,31476,1,1
35097,31476,4,1
35099,31476,6,1
35101,31476,2,1
38138,31476,11,1
39083,31476,6,1
30928,32423,5,1
30928,32423,5,1
31100,32423,14,2
31100,32423,14,2
31100,37430,14,2
31643,32423,1,1
32115,37430,3,1
32465,32423,1,1
33170,32423,2,1
33170,32423,2,1
33483,32423,7,1
33483,32423,7,1
33734,32423,1,1
34031,32423,1,1
34031,32423,1,1
35084,37430,10,1
35093,37430,2,1
35093,37430,2,1
37721,37430,1,1
56132,52579,1,1
57821,52579,5,1
21161,37789,7,2
21370,37789,3,1
21684,37789,3,3
27063,37789,10,2
37203,39751,3,2
41296,59704,6,1
43009,59704,206,2
50739,59414,1,1
53094,59704,1,1
59414,59414,1,1
59704,59704,2,2
51523,51577,2,1
52688,51577,2,2
52950,52950,1,1
55137,52950,6,2
59707,52950,7,2
59708,52950,3,1
54196,51671,1,1
54200,51671,1,1
4174,61362,5,1
31575,60473,1,1
31575,63657,1,1
31654,63657,6,1
31654,63657,6,1
35139,60778,2,1
35139,60778,2,1
60778,63657,2,2
60778,60778,2,2
60778,60778,2,2
60778,60473,2,2
60778,63657,2,2
63636,63657,2,1
63636,60778,2,1
63636,35941,2,1
63636,60778,2,1
63636,60473,2,1
63636,63657,2,1
50074,47490,7,2
50074,42990,7,2
50074,42990,7,2
51524,41476,1,1
52326,47490,2,1
52326,42990,2,1
52326,42990,2,1
53549,41476,10,1
53576,47490,5,1
53576,42990,5,1
53576,42990,5,1
53712,47490,3,1
53712,42990,3,1
53712,42990,3,1
53713,41476,3,1
54193,47490,1,1
54193,42990,1,1
54193,42990,1,1
38002,38958,3,1
21378,21378,80,5
25071,21378,4,1
25071,27997,4,1
26632,21378,3,1
26632,27997,3,1
31091,21254,1,1
31091,21254,1,1
37644,21254,1,1
37644,21254,1,1
31156,32022,16,5
32614,32011,11,2
32625,32011,4,2
32674,32011,21,6
32676,32011,17,3
33567,32022,1,1
34719,32011,9,2
35366,32011,5,1
35552,32022,16,3
35560,32022,2,1
35566,32022,1,1
35571,32022,3,1
35573,32011,6,2
35627,32022,4,1
35861,32011,9,1
38520,32011,2,1
38525,32022,3,1
38530,32022,14,4
38597,32022,25,5
154,65135,67,6
645,65135,14,7
1553,65135,256,14
1556,34001,30,1
1683,65135,82,8
2007,65135,48,7
3142,65135,15,3
5130,65135,550,31
5131,65135,173,18
5132,65135,66,9
5669,65135,18,3
9949,65135,92,7
31152,34001,20,1
31156,34001,8,1
31165,34001,9,2
34001,34001,25,1
34017,65135,11,2
35109,34001,20,1
35517,34001,5,1
35526,34001,20,4
35537,65135,15,1
35552,34001,137,6
35560,34001,4,1
35566,34001,19,3
35569,34001,16,3
35571,34001,17,2
35585,34001,18,3
35586,65135,3,1
35587,34001,46,11
35594,34001,1,1
35625,65135,7,1
35627,34001,25,3
35628,34001,7,1
38525,34001,30,3
38530,34001,11,2
38591,34001,30,2
38597,34001,34,4
61368,65135,12,2
65340,34001,43,4
65359,65135,1,1
21023,38129,12,2
21028,38129,5,1
21119,38129,2,1
21221,38129,4,2
21256,38129,5,1
21256,38129,5,1
22930,38129,2,2
22930,38129,2,2
26089,38129,1,1
31156,38525,3,1
31156,38525,3,1
35547,38525,1,1
35547,38525,1,1
35627,38525,1,1
35627,38525,1,1
35628,38525,2,1
35628,38525,2,1
38129,38129,10,1
38129,38129,10,1
38597,38525,5,1
38597,38525,5,1
26811,39685,10,2
32652,39751,6,1
36365,39751,3,1
39751,39751,1,1
21221,21425,5,1
21195,63111,1,1
21195,63111,1,1
21195,63111,1,1
22955,63111,5,1
22955,63111,5,1
22955,63111,5,1
22980,63111,10,2
22980,63111,10,2
22980,63111,10,2
23014,63111,8,2
23014,63111,8,2
23014,63111,8,2
23017,63111,1,1
23017,63111,1,1
23017,63111,1,1
26544,63111,2,1
26544,63111,2,1
26544,63111,2,1
27010,63111,1,1
27010,63111,1,1
27010,63111,1,1
27084,63227,10,1
27084,63418,10,1
63098,63227,1,1
63098,63418,1,1
63271,63227,1,1
63271,63418,1,1
63411,63227,1,1
63411,63418,1,1
63428,63227,11,5
63428,63418,11,5
38160,38129,1,1
38252,35397,10,1
20056,37995,10,1
20057,37995,15,1
20058,37995,12,2
21230,37995,10,1
21258,38129,22,2
21558,38129,79,11
21560,38129,33,6
22276,38129,40,8
22277,38129,139,17
22942,38129,87,14
22970,38129,9,8
22975,38129,102,11
23051,37995,1,1
23053,38129,4,4
23055,38129,94,9
23064,38129,658,32
26402,38129,48,14
26516,38129,29,5
26520,37995,5,1
26525,38129,2,1
26946,38129,13,6
26946,37995,13,6
27085,38129,3,1
31741,37995,42,7
32285,38129,1,1
32445,37995,49,9
32446,38129,46,7
32446,37995,46,7
32447,37995,459,57
32448,37995,231,15
32449,37995,32,7
32450,37995,290,39
32451,37995,717,60
35401,37995,10,1
37995,37995,5,2
12071,32142,15,4
19988,32142,13,5
32030,37779,2,1
32030,37779,2,1
32207,37779,1,1
32207,37779,1,1
37632,37779,1,1
37632,37779,1,1
22028,22028,1,1
32207,22028,1,1
52551,51704,3,2
52551,42803,3,2
53791,51704,1,1
53791,42803,1,1
54298,51704,1,1
54298,42803,1,1
60262,60292,10,2
11011,31075,3,1
31075,31075,2,1
31517,31280,2,1
31530,31075,8,1
32044,31280,2,1
32253,31280,4,2
32254,31280,6,2
32256,31280,2,1
35232,31280,1,1
35298,31075,2,2
37476,31075,1,1
37602,31280,40,2
37626,31280,5,1
11011,31280,15,4
21109,31280,19,5
21109,33512,19,5
33512,33512,5,1
35744,33512,1,1
38160,33512,66,7
22942,20068,20,1
26484,20068,1,1
38699,20068,5,1
20059,31329,9,1
20059,37624,9,1
20168,22942,7,2
20168,21109,7,2
20200,22942,60,7
20200,21109,60,7
20340,31329,8,1
20340,37624,8,1
21558,22942,20,1
21558,21109,20,1
22273,22942,1,1
22273,21109,1,1
22277,22942,43,10
22277,21109,43,10
22942,22942,51,4
22942,21109,51,4
22972,22942,61,13
22972,21109,61,13
23051,31329,4,1
23051,37624,4,1
23053,22942,118,10
23053,21109,118,10
23055,22942,11,3
23055,21109,11,3
23064,22942,32,8
23064,21109,32,8
26501,22942,47,8
26501,21109,47,8
26516,22942,65,6
26516,21109,65,6
26520,31329,2,1
26520,37624,2,1
26946,31329,9,2
26946,37624,9,2
26946,22942,9,2
26946,21109,9,2
27085,22942,5,1
27085,21109,5,1
31329,31329,22,1
31329,37624,22,1
32969,31329,12,3
32969,37624,12,3
34235,31329,109,13
34235,37624,109,13
34235,22942,109,13
34235,21109,109,13
34270,31329,23,5
34270,37624,23,5
34690,31329,6,2
34690,37624,6,2
34696,31329,11,3
34696,37624,11,3
34696,22942,11,3
34696,21109,11,3
35672,31329,5,2
35672,37624,5,2
35673,31329,5,1
35673,37624,5,1
35674,31329,103,14
35674,37624,103,14
35674,22942,103,14
35674,21109,103,14
37707,31329,2,1
37707,37624,2,1
38908,31329,55,7
38908,37624,55,7
38945,31329,6,2
38945,37624,6,2
154,65135,36,3
1232,34001,1,1
1556,34001,20,1
3142,65135,20,1
4116,65135,101,2
5130,65135,141,10
5132,65135,1,1
5669,65135,10,2
9936,65135,110,3
9949,65135,33,3
33739,65135,1,1
35055,34001,20,2
60222,34001,10,3
60237,34001,8,2
60245,34001,12,3
60249,34001,6,2
60250,34001,20,2
60290,34001,16,2
60298,34001,8,2
60354,34001,5,1
60373,34001,11,2
60374,34001,11,3
60376,34001,31,5
60387,34001,2,1
60523,65135,6,1
60663,34001,6,1
65156,34001,5,1
65384,34001,3,1
154,65135,37,3
800,34001,3,1
1556,34001,5,1
3142,65135,55,3
3374,65135,10,1
4007,34001,30,1
4116,65135,142,5
5130,65135,60,9
5131,65135,42,2
5132,65135,1,1
9855,34001,1,1
9936,65135,205,12
9949,65135,19,3
60272,34001,13,2
60276,34001,73,8
60278,34001,32,5
60285,34001,7,3
60287,34001,11,4
60290,34001,15,1
60292,34001,10,1
60303,34001,18,4
60305,65135,2,2
60307,34001,40,3
60308,34001,24,4
60310,34001,4,1
60356,34001,2,2
60358,34001,18,4
60392,34001,27,4
65134,65135,2,1
65384,34001,4,1
40320,43265,3,1
42723,43137,3,1
51082,52154,1,1
51082,43265,1,1
51659,43137,8,1
53947,52154,3,1
53947,43265,3,1
54048,52154,3,1
54048,43265,3,1
54225,52154,1,1
54225,43265,1,1
55234,52154,3,2
55234,43265,3,2
211,4009,8,1
1509,4009,3,1
1862,4009,4,2
3230,4009,1,1
43009,43009,5,1
51661,43009,37,2
52218,43265,26,2
54183,43265,2,1
57110,43265,15,1
51040,43137,9,1
51846,43137,2,1
54048,43265,3,1
55642,43265,2,1
41296,51850,18,3
43009,51850,6,2
51105,41462,6,1
51704,41462,3,1
54054,41462,12,2
54159,51850,7,2
54220,41462,3,1
54236,51850,15,1
10430,35679,2,1
20001,22028,2,1
20750,22028,5,1
21472,22028,14,4
33569,35679,3,1
20026,26749,1,1
21221,26749,11,2
28642,26749,15,3
51587,55417,5,1
51587,55417,5,1
52174,55332,80,9
52174,55417,80,9
52174,55417,80,9
52269,55332,10,1
52269,55332,10,1
52269,55417,10,1
52269,55417,10,1
55048,55417,2,1
55084,55332,162,11
55084,55332,162,11
55115,55417,10,2
55115,55417,10,2
55231,55332,4,2
55231,55332,4,2
55231,55417,4,2
55231,55417,4,2
55253,55417,10,1
55253,55417,10,1
55318,55417,3,1
55318,55417,3,1
55380,55332,5,1
55380,55332,5,1
55385,55332,17,2
55385,55332,17,2
55385,55417,17,2
55385,55417,17,2
56876,55417,11,2
56876,55417,11,2
11011,31074,73,4
11011,31074,73,4
11012,31074,9,3
11012,31074,9,3
11056,31074,20,4
11056,31074,20,4
11057,31074,8,2
11057,31074,8,2
11060,31074,1,1
11060,31074,1,1
11357,31074,4,2
11358,31074,2,1
11359,31074,123,10
11359,31074,123,10
11361,31074,32,10
11361,31074,32,10
11362,31074,7,2
11362,31074,7,2
11363,31074,4,3
11363,31074,4,3
11364,31074,5,1
11364,31074,5,1
11365,31074,38,7
11365,31074,38,7
11367,31074,29,7
11367,31074,29,7
11368,31074,15,1
11368,31074,15,1
11571,31074,18,8
11856,31074,22,3
12295,22942,6,1
12945,31074,3,2
13175,22942,1,1
13178,31074,10,1
13304,31074,25,6
13304,31074,25,6
13318,22942,20,1
19180,22942,2,1
21558,22942,10,2
21560,22942,133,26
21684,22942,1,1
22273,22942,29,4
22276,22942,65,9
22277,22942,198,15
22942,22942,100,24
22970,22942,5,2
22972,22942,141,13
22975,22942,78,18
23053,22942,68,12
23055,22942,28,6
26402,22942,36,3
26516,22942,12,3
26946,22942,1,1
31074,31074,4,1
31074,31074,4,1
11056,31074,1,1
11358,31074,7,1
11361,31074,3,1
21626,35863,41,7
22276,35863,9,2
22277,35863,12,2
22970,35863,11,2
22975,35863,46,4
23055,35863,9,2
26402,35863,9,1
26776,35863,7,1
33872,35863,3,2
33872,31074,3,2
35863,35863,12,6
35863,31074,12,6
36430,35863,1,1
10311,16145,1,1
10346,13777,1,1
10346,13777,1,1
10346,13777,1,1
10347,16145,50,1
10536,16145,70,2
10537,16145,53,1
11286,16145,6,1
12084,16145,55,1
12284,13777,3,2
12284,13777,3,2
12287,13777,4,2
12287,13777,4,2
12289,13777,18,2
12289,13777,18,2
12292,13777,10,2
12292,13777,10,2
12295,13777,1,1
12295,13777,1,1
12296,13777,2,2
12296,13777,2,2
12829,13777,1,1
12829,13777,1,1
13175,13777,1,1
13175,13777,1,1
13318,13777,16,3
13318,13777,16,3
13452,13777,4,1
13452,13777,4,1
13475,13777,22,5
13475,13777,22,5
14788,16145,17,2
14798,13777,18,3
14798,13777,18,3
14806,13777,31,6
14806,13777,31,6
15518,13777,1,1
15518,13777,1,1
15530,13777,10,1
15530,13777,10,1
15982,16145,30,3
16036,16145,9,2
16145,16145,1,1
16161,16145,5,2
19180,13777,6,2
19180,13777,6,2
19561,16145,17,3
19911,13777,13,4
19911,13777,13,4
13437,15343,5,2
13658,15343,2,1
13658,15343,2,1
13907,38801,16,3
13907,38801,16,3
14838,15343,10,1
14838,38801,10,1
14849,15343,7,2
14851,15343,1,1
14855,38801,12,2
14856,15343,15,6
14857,15343,2,1
14878,38801,5,1
14878,38801,5,1
15258,15343,5,1
15260,15343,14,4
15264,15343,2,2
15265,38801,4,1
15266,38801,4,1
15266,38801,4,1
15269,38801,10,2
15269,38801,10,2
15280,38801,3,2
15280,38801,3,2
15566,15343,4,1
15566,15343,4,1
15590,38801,1,1
15590,38801,1,1
15624,38801,1,1
15624,38801,1,1
16506,38801,1,1
19204,38801,4,2
21256,15343,6,2
21256,15343,6,2
31265,38801,6,1
31265,38801,6,1
32142,38801,4,1
32142,38801,4,1
32207,15343,5,1
32207,15343,5,1
32208,15343,10,6
32208,15343,10,6
35203,15343,4,3
35203,15343,4,3
