Id,Label
1,Yosef Caro/Ben Ish Hay
2,Swimming Pool
3,Hare Yehuda Yeshiva
4,Ya'ar-HaNassi
5,Ben Ish Hay
6,K'salon V
8,K'salon T
9,K'salon Y
15,A-Zeituna/Al-Ihtiram
19,Talmud Yerushalmi/Rav Mari
27,Al-Madinah al-Munawwarah/Zakuka
28,Al-Madinah al-Munawwarah/Zakuka
29,Al-Madinah al-Munawwarah/Bir A-Zahluk
30,Al-Madinah al-Munawwarah/Bir A-Zahluk
31,Kupat Holim/Al-Madinah al-Munawwarah
32,Kupat Holim/Al-Madinah al-Munawwarah
33,Al-Madinah al-Munawwarah/Bir al-Akaba
34,Al-Madinah al-Munawwarah/Bir al-Akaba
35,Al-Madinah al-Munawwarah/Ben Ami Intersection
36,Kupat Holim/Al-Madinah al-Munawwarah
37,Kupat Holim/Al-Madinah al-Munawwarah
40,Al-Mashahid D
41,Al-Mashahid D
42,Al-Mashahid C
45,Al-Mashahid A
46,Al-Mashahid A
48,Umm Tuba 3
49,Umm Tuba 4
50,Umm Tuba 6
51,Umm Tuba 7
52,Umm Tuba 9
53,Sur Baher 1
54,Sur Baher Road
55,Abu Bakr alSiddiq School/al Madina alMunawra
57,Al-Majad School/Al-Ihtiram
58,Al-Ihtiram A
59,Al-Ihtiram B
60,Coll?ge des Fr?res/Taha Hussein
61,Neve Ya'akov Boulevard/Moshe Sne
62,Nahshon Junction
63,Beko'a H
64,Beko'a A
65,Beko'a B
66,Beko'a G
67,Beko'a D
68,Beko'a
69,Sur Baher Girls School/Al-Madinah al-Munawwarah
70,Swimming Pool
71,Beko'a Interchange
72,Nahshon Junction
73,Golda Meir Boulevard/HaMeshorer Atsag
76,Sur Baher Girls School/Al-Madinah al-Munawwarah
77,Ibn Rushd School/Al-Madinah al-Munawwarah
78,Sare Israel/Yafo
79,School/Rosary al-Mamun
80,Hizma Junction/A-Zahur
83,Batn Al-Hawa/Hush Al Maraj
84,Malkhe Israel/HaTurim
85,Boys School/Al-Madaris
86,Football Field/Al-Madaris
88,Girls School/Batn Al-Hawa
89,Old Bethlehem Road/Wadi Qadum
91,Old Bethlehem Road/Wadi Qadum
93,Hush Salima 1
94,Old Bethlehem Road B
95,Old Bethlehem Road A
97,Bazbaz Quarter 2
102,Golda/Shlomo HaLevi
104,Al-Jadud/A-Samah
105,Giv'at Moshe
106,Giv'at Moshe
107,Technological Garden/HaPoel S.C.
108,Ezrat Torah/Eli HaChohen
109,Ezrat Torah/Doresh Tov
110,Ezrat Torah/Doresh Tov
111,Yacobson/Ezrat Torah
112,Yacobson/Ezrat Torah
113,Zayit Ra'anan/Ohel Yehoshua
114,Mount of Olives Cemetery/Jericho Road
115,Zayit Ra'anan/Torat Hessed
116,Zayit Ra'anan/Torat Hessed
117,Kiryat Hayeled/Sorotzkin
119,Sorotzkin/Schenirer
120,Sorotzkin/Schenirer
121,Sulam Center/Sorotzkin
122,Sulam Center/Sorotzkin
123,Ohel David/Sorotzkin
124,Ohel David/Sorotzkin
125,Neve Simcha/Sorotzkin
126,Neve Simcha/Sorotzkin
127,Panim Me'irot
128,Al-Mirwaha/Alley 9
129,HaMem Gimel/Panim Me'irot
130,HaMem Gimel/Panim Me'irot
131,HaMem Gimel/Zikhron Y'akov
132,HaMem Gimel/Rishon LeTsiyon
134,7 Almaroucha Alley
135,Rabbi Jakob Edelstein
136,HaMem Gimel/Yirmiyahu
137,HaRo'e/Valenstein
138,Mirsky/Mintz
139,Beit Midrash Satmar/Rabbi Yisrael Grossman
140,Shabtai Hizkiya/Va'ad Arba Ha'Aratsot
141,Shabtai Hizkiya/HaRo'e
142,Valenstein/HaRo'e
143,Valenstein/Va'ad Arba Ha'Aratsot
144,Valenstein/Kehilat Ungvar
145,Mintz/Mirsky
146,Mintz/Mirsky
147,Mintz/Shif East
148,Mintz/Shif East
149,Mintz/Rubin
150,Mintz/Rubin
151,Reccanati/HaMeshorer Atsag
152,Reccanati/Idelzon
153,Reccanati/Ben Ze'ev
154,Shefa Hayyim/Doresh Tov
155,Ohel Yehoshua/Zayit Raanan
156,Igrot Moshe/Kahaneman
157,Igrot Moshe/HaRav Uzi Kalchheim
158,Meir Hadash/Igrot Moshe
159,Meir Hadash/Hazon Ish
160,Birkat Avraham
161,Shamgar/Ohel Yehoshua
162,Druck/Kehilot Ya'akov
163,Druck/Pata'el
164,Rabbi Shlomo Zalman Druk/HaRav Bezalel Zolti
165,HaRav Bezalel Zolti/Rabbi Shlomo Zalman Druk
166,HaRav Bezalel Zolti
167,HaRav Herzog Boulevard/Road 3855
168,Hazon Ish/HaRav Bezalel Zolti
169,Hazon Ish/HaAdmor MiLubawitch
170,HaAdmor MiLubawitch/Hazon Ish
171,Ha'Admor MiLubavitch/Lapian
172,Giv'at Sha'ul/Ktav Sofer
173,Giv'at Sha'ul/Ktav Sofer
174,Givat Shaul/HaRav Aharon Kotler
175,Givat Shaul/HaRav Aharon Kotler
176,Givat Shaul/Rabbi Israel Nejara
177,Rabbi Israel Nejara/Givat Shaul
179,Rabbi Israel Nejara/Yonathan Ben Uziel
180,Kfar Shaul/Katzenelbogen
181,Katzenelbogen/HaPla'a
182,Vizhnitz Yeshiva/Katzenelbogen
183,Talmud Bavli/Talmud Yerushalmi
184,Katzenelbogen/HaKablan
186,Katzenelbogen/Ma'alot Boston
187,Sha'ulson/Mishklov
188,Sha'ulson/Ma'alot Boston
189,Sha'ulson/Rozin
190,Sha'ulson/Zerah Barnett
191,Hay Tayeb/Sha'ulson
192,Hay Tayeb/Ibn Danan
193,Hay Tayeb/Brand
194,Hay Tayeb/Rosenthal
195,Rosenthal/Sha'ulson
196,Al Qasar/Al Merkaz
197,HaPisga/Herzl Blvd
198,Odem/Turkiz
199,HaPisga/HaRashdam
200,HaRozmarin/Tunnels Road
201,Dov Yosef/Ye'ari
202,Teddy Stadium/Beitar Sports Club
203,HaLe'om Parking
207,Bazbaz Quarter 3
210,Shmu'el HaNavi/Tidhar
211,Shmu'el HaNavi/Yakim
213,Zachs
214,Shmu'el HaNavi/Yakim
215,Shmu'el HaNavi/Tidhar
220,Alar/Yanovsky
221,Ministry of Foreign Affairs/Rabin Blvd
222,Teddy Stadium/Beitar Sports Club
223,Rozmarin/Levona
224,Road 60/HaRozmarin
227,Engel/Kanfe Nesharim
228,Shatner Center/Kanfe Nesharim
229,Beit Inbar/Kanfe Nesharim
230,Rosenthal/Kanfe Nesharim
232,Katzenelbogen/Ma'alot Boston
234,Dvar Yerushalayim/Katzenelbogen
235,Vizhnitz Yeshiva/Katzenelbogen
236,Katzenelbogen/HaPla'a
237,Kfar Shaul/Katzenelbogen
239,Volcan College/Jericho Road
241,Oz Police
242,HaPisga/Torah Ve'Avoda
244,Jericho Road/Al-Waffa
246,Omar Ben El'as Junction
253,T. Adin/P.Dalman
254,Ministry of Justice/Salah al Din
255,Ministry of Justice/Salah al Din
256,Derekh Schem/Louis Vincent
257,Derekh Schem/Louis Vincent
258,Tedi – East Parking
260,Al-Mashahid/Al-Shifa
261,Al-Muqaffa/Halima al-Sa'diya
263,Derekh Schem/Tobler
264,Derekh Schem/Tobler
265,A-Sakakini School
266,Gazil Junction
268,Abu Rabia/Barazani
272,Al-Muqaffa/Deir al-Amud
273,Sha'ulson/Rosenthal
274,Al-Halifa A-Rashidi/Al-Muntar
275,Abu Hamd Jazali School
276,Beit Inbar/Kanfe Nesharim
277,Shatner Center/Kanfe Nesharim
278,Engel/Kanfe Nesharim
279,Farbstein/Beit Hadfus
280,Ha'Admor MiLubavitch/Druck
282,Hazon Ish/HaAdmor MiLubawitch
283,Al-Rahman Mosque/Abu Ubaidah
284,Kehilot Ya'akov
285,Umm Lisun Road A
286,Umm Lisun Road C
287,Mt.-Zion Parking
289,Muntar
290,HaRav Bezalel Zolti/Hazon Ish
291,Meir Hadash/Hazon Ish
292,Meir Hadash/Igrot Moshe
293,Igrot Moshe/HaRav Uzi Kalchheim
294,Igrot Moshe/Hazon Ish
295,Igrot Moshe/Hazon Ish
296,Neriya HaNavi/Ahiya HaShiloni
297,Shopping Center/Yirmiyahu HaNavi
298,Baby Care/Yirmiyahu HaNavi
299,Yehezkel HaNavi/Ahiya HaShiloni
300,HaRav Bezalel Zolti/Hazon Ish
301,HaRav Bezalel Zolti
302,HaRav Bezalel Zolti/Rabbi Shlomo Zalman Druk
304,Druck
305,Druck/Kehilot Ya'akov
306,Kehilot Ya'akov
